class,text
Pos,@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.
Pos,RT @tomkeene Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/BPPJwncp
Pos,@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed
Pos,Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT
Pos,Loving my new #iPhone4S thanks @apple for #ios5
Pos,i love this. so much. thank you @apple.  http://t.co/Ui8lOEzX
Pos,@apple the iPhone 4s is great #genius
Pos,@apple Cards app notifies me the card I sent has arrived at local post office and should be delivered today... Sunday. Truly is #magic.
Pos,Love my new I0S5 @Apple updates. Just when I think it can't get any better somehow it simplifies my life more. That's right-it's an Apple.
Pos,@apple Siri is amazing
Pos,@rygurl you need an @apple iphone4S with Siri!
Pos,Meet #Siri your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple
Pos,So I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac
Pos,I  @Apple http://t.co/a8on3IAa
Pos,@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry
Pos,Loving #iOS5 !! #awesome @Apple
Pos,RT @MattyRiesz: @kathrynyee You were right an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}
Pos,Thank you @apple for your innovations. Exhibit A: Guy playing with Facetime instead of watching game at sports bar. http://t.co/oU7K39ge
Pos,@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??
Pos,@apple by far the best iPod and first time iPhone ever.... Good job guys
Pos,Thank you Steve @apple store 5th av. http://t.co/nSAisriP
Pos,@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?
Pos,@Apple iOS 5 is sweet! Notifications phone search covers mail now wifi sync iCloud backup and integrated Twitter are all well done.
Pos,RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ...
Pos,Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s
Pos,I &lt;3 @apple http://t.co/ondXWpEr
Pos,Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.
Pos,Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D
Pos,RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
Pos,the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple
Pos,My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job @apple.
Pos,It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!
Pos,RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple
Pos,@RickySinghPT got a new backside for my eye phone! V impressed with @apple
Pos,#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things
Pos,Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!
Pos,_ibertaddigital.tv/ iPad a briliant SteveJobs produck http://t.co/00ohfLY6@Apple present... http://t.co/DBbWSDpx
Pos,Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple
Pos,@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required
Pos,New iOS 5 update is THE BEST. iloveyou @apple
Pos,Finally got my iPhone 4S thanks @Apple. Stupid @att. Learned my lesson.
Pos,I absolutely love my iPhone 4S. Thank you Steve and @apple.
Pos,@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s
Pos,dammit listening to siri is making me want to upgrade. well played @apple.
Pos,Create new folders from within your photo album in #iOS5 finally!! Thanks @Apple that's been a thorn in my side for a while. #newfeature
Pos,Video card on @Kimaris workstation died after just six months. So long @hp. Hello @apple.
Pos,@Blackberry & @Facebook U R really about to make me throw this @Blackberry in the trash an get an @Apple iPhone! @Facebook upload issues!
Pos,#iOS5 update submitted to @apple! Thanks for all the support!
Pos,Awesome service from the @apple store in pc. Thanks chris!
Pos,RT @To1ne: .@apple thanks for fixing this... http://t.co/wTj1ogDO
Pos,I am crazy about #iOS5 . The photo cropping is the best! @apple
Pos,.@apple thanks for fixing this... http://t.co/wTj1ogDO
Pos,Hell yes!!! Got my contacts back!!  Thanks @apple
Pos,RT @SawyerHartman: I FU*KING LOVE YOU @APPLE this phone is the best thing ever !! SIRI = BEST THING EVER MADE
Pos,@apple has changed life.
Pos,Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!
Pos,@jonsibley Actually the @Apple  mouse is pretty sweet man.
Pos,The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple
Pos,Finally got the @apple IPhone thanks to @sprint getting with the times
Pos,#iOs5 is nice and as it had to be ! Thanks @Apple
Pos,Good support fm Kevin @apple #Bellevue store 4 biz customers TY!
Pos,Just downloaded IOS 5. It's better than I expected! #thankyou @apple
Pos,Wow I am loving this new @apple update for my touch. #coolness Well done
Pos,@Apple: Siri is amazing!!! I'm in love!
Pos,Love love love iOS 5!! @apple
Neg,RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...
Neg,RT @Jewelz2611 @mashable @apple iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..
Neg,@mashable @apple iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..
Neg,THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE
Neg,@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5
Neg,@apple needs to hurry up and release #iTunesMatch
Neg,Why is  #Siri always down @apple
Neg,I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple
Neg,@apple AirDrop #fail - Immediate declined your request. every time
Neg,good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb
Neg,RT @radlerc: Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s
Neg,Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s
Neg,The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss
Neg,Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple
Neg,@paulens It surprises me that @Apple throws up an error alert about authorizing and there's no Authorize this computer button.
Neg,@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!
Neg,FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.
Neg,Oh @apple. Steve obviously had nothing to do with iPhoto as it's the perfect opposite of 'insanely great'. Get it fixed please.
Neg,OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS
Neg,@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise why doesn't it just auto-authorise it when I sign into iTunes? Grrrr...
Neg,Seriously - I have absolutely no offing clue what @Apple means by authorization nor how to do it.
Neg,Boy could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? You must authorize this computer
Neg,shit shit shit. IOS5 update ate all my apps data and media just like @apple said it would. This is going to take some time to rebuild.
Neg,. @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!
Neg,Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance
Neg,Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity
Neg,I am so done with @Att and @apple 's profitering and lack of customer service so fucking down with both!!!
Neg,It would be great If @Apple would send my new phone. #frustrated
Neg,@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.
Neg,@rogerweir no but I have the option of a  replacement iPhone 4s ?Not sure if I want one after having 2 duff iPhones.@O2 @iphone4s @apple
Neg,So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?
Neg,You know @apple It's been almost a week since I paid for iTunes Match I would really like to use it. Any ETA on a fix?
Neg,removing all @apple shit.
Neg,So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple
Neg,What??? I that sucks hello @apple RT @PhoneDog_Aaron Interesting note - DROID RAZR's battery isn't removable.
Neg,@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em
Neg,Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise
Neg,@bisquiat @Apple the upgrade just slows down my phone so much it's stuck half the time. uch. thankfully no other damage. sucks for you :(
Neg,@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.
Neg,Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat
Neg,@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO
Neg,Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit.
Neg,@FishMama: If you made a purchase just wait for the @apple survey! hate going b/c of the bad #custserv
Neg,Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!
Neg,@phxguy88 @Apple @BGR That's why all the ppl who stand in line for hrs to get the newest model are suckers...
Neg,Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.
Neg,@APPLE Wow @MOTOROLA Just crushed your dreams....
Neg,RT @phxguy88: Oh just fuck you @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR
Neg,Oh just fuck you @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR
Neg,@apple No I won't wait until thursday for an available appointment just so a 'genius' can tell me I'm shit out of luck. #now
Neg,WTF?!?! @apple the new iOS 5 doesn't allow you NOT to get push notifications from newstand? and SIRI just keeps yapping FUCK!
Neg,@Apple on the #iPad with #iOS5 why has the Messages Icon been included when it can't be used?
Neg,@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T
Neg,Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii
Neg,@apple why is my iPhone battery so crappy #fail
Neg,My @Apple @macbook keyboard will not type :(
Neg,Why doesn't @apple iCloud sync Stickies? They've always been around just nothing every progressed w/ them!! Why apple why?  @gruber
Neg,@apple your new Save a Version function in Pages is absolutely the most awful interrupting counter-intuitive piece of crap in the world
Neg,I hate my @apple computer.  Thats 3500 dollars down the drain.
Neg,@apple my iPhone is charging very slowly!!!!!
Neg,@Apple #iOS5 gm on ipad1 is very slow wash better on beta7/8 solve this problem or give me the ipad2
Neg,@apple Wish I could pick month day and YEAR when setting a new calendar item on my iPhone. Why hasn't the new iOS fixed this yet?!
Neg,@Apple iTunes is the worst program ever. For such a great phone you make some awful software.
Neg,One would think the voice recognition on the @apple tech support line would work a little better.
Neg,@apple $319 to repair my iPad 2 Apple you've lost me and my $700 a year Android here I come!
Neg,@azee1v1 @apple @umber Proper consolidation proper syncing stop losing my PURCHASED items checkboxes that do what you think they will do.
Neg,@AsimRang @apple @umber the desktop app is wack though
Neg,I made a reservation and yet I still have to wait in line. Humpt! Oh @apple (@ Apple Store w/ 2 others) http://t.co/JZmVBdNm
Neg,Frustrated that I bought a new macbook pro from @apple only to find it doesnt ship with media! #expensivepaperweight
Neg,Dear @apple. I had to turn off all those awesome featured you just enabled. Data plan can't handle it. 200 mb of data just because #
Neg,#DontBeMadAtMeBecause #Android is by far better than @Apple
Neg,@apple is there a problem with iOS 5 that is preventing audio apps and audio functions from operating properly? I keep losing sound.
Neg,@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt
Neg,Hey @Apple: stop sending your automatically-depreciate-all-iPhones-older-than-the-4s signal. My #iPhone4 is dying rapidly processor-wise.
Neg,Only thing bad about the new @canon camera is that it has two compact flash cards... not one of SD. SD goes in my @apple computer. Damn you!
Neg,Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???
Neg,fuck u @apple
Neg,oh and prolly ganna be late to work bc @apple has screwed me and my phone has my only alarm on it
Neg,why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple
Neg,. if u need me just text me o wait u i wont get it cuz @apple fucks me every time #fuckingpissed
Neg,iMessage doesn't show the time a message was sent annoying @apple
Neg,Like @apple da fuck is this shit?  http://t.co/nb4DHlSg
Neg,RT @CircusTK: I'm wit chu!! @ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my t ...
Neg,Damn it @Apple!! Whatchu done to my phone??
Neg,Samsung seeks iPhone 4S ban in Japan and AustraliaPatent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk
Neg,@apple why is it every time there is iOS software update my iPad goes dead and I need to totally restore? #fail
Neg,@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??
Neg,@apple the reservation system not working shows no products avail let alone iphone 4s I had the site open in 3 browsers at 9 PM and nothing
Neg,RT @RedDeerSteph: @Joelplane @apple I hear you! I've had trouble with my 3 & now 4. I've even turned down brightness. #andshuttingdownru ...
Neg,@Joelplane @apple I hear you! I've had trouble with my 3 & now 4. I've even turned down brightness. #andshuttingdownrunningprograms #nohelp
Neg,@albertmal88 remember @apple is evil. #icloud entering the #dropbox market
Neg,I know a few others having same issue RT @Joelplane: 9% now on my second full charge of the day. Pissed @Apple
Neg,9% now on my second full charge of the day. Pissed @Apple
Neg,RT @ShayDiddy: @CircusTK @ups @apple both of them are bs!!! How do u tell me go between a certain time ONLY and the muh fuh is closed!
Neg,I'm wit chu!! @ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my time!
Neg,ugh! @apple youre reservation page for the iPhone is NOT working.
Neg,iTunes is @apple's worst product. Worse than the #Newton or the hockey puck mouse. It's utterly painful to use.
Neg,Der iCloud I HATE U  AND I HOPE YOU DIE  YOU ARE THE WORST FUCKING INVENTION IN THE WORLD  FUCK YOUUUUUUUUUUUU #iCloud @apple @stevejobs
Neg,i update to ios 5 and lose everything on my phone and it wont let me sign into my itunes account... thanks @Apple
Neg,Suddenly lost all address book on @3GS iPhone. And someone was using my @Apple ID. It all fucked up.
Neg,oh.. my iphone is overcapacity huh?! -____-  @Apple won't let me be great!!!
Neg,Issues with updating iTunes on my windows pc - they really are not compatible.... Sent more time talking to @Apple care than using it!!
Neg,@apple u guys are gay
Neg,Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE Y RESTRICTIONS ON MY SMS?  Y NO TEXTS.... #iOS5 #iOS5atemydingo
Neg,none of my apps work after the new ios from @apple. what do i do?!?
Neg,Seemingly endless loop of calls to @apple @ups @verizonwireless to investigate my missing #iphone4s. #crankywithnophone
Neg,@Wisconsin_Mommy @apple that's terrible!  I hope you get an apology!
Neg,@zombiebomber have been on the phone with @verizonwireless and @apple pretty much ever since then. Really annoyed.
Neg,@chascouponmom @apple I get they are busy w/ the new phone but I just wanted to buy a stylus. they made me wait forever outside & never
Neg,@apple @iphone Please deliver my daughter's i4s she is driving me nuts #iphone
Neg,@sprint @bestbuy still no word on my iPhone4s preorder.  Best Buy blames Sprint Sprint blames @apple I just want an honest answer.  #help
Neg,Hey @apple the SMS full message is complete shit. Yes I'm annoyed.
Neg,Have never had such poor customer service at @Apple before! What happened? (@ Apple Store w/ 2 others) http://t.co/GKlXMUi6
Neg,@Apple your service experience is really fucking slipping (except for cute eyelash batting girlies). (@ Apple Store) http://t.co/dOHDEnMg
Neg,Had ma Ipas not 24 hours an I jailbroke it...now its SHAGGED itunes won't letme restore it @apple SYM!!!!
Neg,@hailfire101 @Irvysan They are... then @apple happened and snatched Siri so they could be douchebags and say 'it's ours!'
Neg,What was @apple thinking making #Siri totally dependent on a network connection? Siri + @ATT = utter frustration.
Neg,Wow the Genius Bar Reservation Line @Apple is ridic right now - ___- I am not amused. #ugh
Neg,Where is my iPhone!?!?!?!@apple
Neg,@apple battery life suck on iOS 5
Neg,An apple update has seemed to render my work machine incapable of opening HDV video. Thanks @Apple. Zero useful productivity today.
Neg,@apple I committed to your cloud storage iDisk and now it's raining :-( so soon no more iDisk.  Any plans for a new service for storage?
Neg,Hey @apple why can't I share a reminder list from my iPhone?Also why can't I login to the iCloud webpage to modify sharing from my phone?
Neg,Apparently fuzzball crashes on #iOS5. Congratulations @apple on another incompatible upgrade
Neg,could @apple lion please integrate vertical spaces in mission control. this horizontal business is making me nauseous
Neg,Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f
Neg,GAH. @apple iOS 5 opens text messages painfully slow on top of 3 restore attempts 2 succeed. Early adopterness gets better of me.
Neg,Dear @apple: Why did all my PDFs and ePub files disappear from ibooks in my iPhone post ios5 upgrade? This hurts. #3GS #needsomethingtoread
Neg,@CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better. &lt;&lt; check Settings: 8 times more App usage in iOS 5
Neg,As a huge podcast fan - I really feel like @Apple dropped the ball on this one. http://t.co/wvzPrbCI via @Carrypad
Neg,I don't really like Siri's voice. Perhaps @apple can get Star Wars voices just like @garmin http://t.co/pSUJg9pN
Neg,@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products customer service sucks. in NZ?
Neg,I really hate dealing with the brain dead people at the @apple store. For such good products customer service sucks.
Neg,You can make photo albums in the Photos app with iOS 5 but can't password protect them? Um... @apple fix that. Quickly.
Neg,Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc/ @applecanada @apple @forstall
Neg,RT @CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.
Neg,@apple If you want to know what customers think dont send updates with the noreply return address. Who invented that anyway. #useless
Neg,Every time I try the voice control on my iPod Touch to send an iMessage it starts playing Who Knew by Pink.  Still not Flawless @Apple
Neg,should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience
Neg,Ok Hindi keyboard in #iOS5 is something to cheer about.  But @apple  what about  support for 20+ missing Indian languages!? #FAIL
Neg,RT @ScottDugas: Warning: if iphone apps spontaneously loose data it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade  ...
Neg,@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx
Neg,Waiting for items to copy in Itunes after everything DID copy goes on and on and on.  Come on @Apple what the hell?
Neg,@Apple unhappy again with service/product quality. Won't buy @Apple again.
Neg,Lies @apple. the battery on this new iPhone4S is definitely not any better.
Neg,@philipgrey: dear @apple why you gotta go change the way &lt;input type=number&gt; is handled out of the blue?
Neg,Been on hold with @apple customer service for 25 minutes. Wow lt's like they're #timewarnercable.
